id;nome;anno_nascita;source_file;data_creazione;fonte
11;Nome Auotre 11;1955;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
12;Nome Auotre 12;1956;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
13;Nome Auotre 13;1957;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
14;Nome Auotre 14;1958;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
15;Nome Auotre 15;1959;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
16;Nome Auotre 16;1960;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
17;Nome Auotre 17;1961;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
18;Nome Auotre 18;1962;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
19;Nome Auotre 19;1963;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
20;Nome Autore 20;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
21;Nome Autore 21;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
22;Nome Autore 22;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
23;Nome Autore 23;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
24;Nome Autore 24;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
25;Nome Autore 25;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
26;Nome Autore 26;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
27;Nome Autore 27;1980;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 2/processed/Dati di input Raw Zone - autori2.csv;2022-09-23T11:03:13.000+02:00;fonte 2
